,such
1800,0.0013898637844249606
1801,0.0014013403560966253
1802,0.0013796781422570348
1803,0.0014369392301887274
1804,0.0013230815529823303
1805,0.0013927404070273042
1806,0.001366910059005022
1807,0.0014286247314885259
1808,0.0015359051758423448
1809,0.0014410103904083371
1810,0.001434698118828237
1811,0.0015944552142173052
1812,0.0017180677969008684
1813,0.001536175375804305
1814,0.0014729649992659688
1815,0.0014374582096934319
1816,0.0015458835987374187
1817,0.0015288081485778093
1818,0.001545759616419673
1819,0.0015046389307826757
1820,0.0015418987022712827
1821,0.0015561656327918172
1822,0.00159895746037364
1823,0.0015961851458996534
1824,0.0015090731903910637
1825,0.0014932174235582352
1826,0.0015847674803808331
1827,0.0015446830075234175
1828,0.0014535937225446105
1829,0.001521633006632328
1830,0.0014950294280424714
1831,0.0015422864817082882
1832,0.0017493170453235507
1833,0.0014857298228889704
1834,0.0015036542899906635
1835,0.0014957928797230124
1836,0.0015720026567578316
1837,0.0015171748818829656
1838,0.0015417532995343208
1839,0.0015068347565829754
1840,0.0015382982091978192
1841,0.0015256708720698953
1842,0.0015132178086787462
1843,0.0015814946964383125
1844,0.0015075631672516465
1845,0.0016123144887387753
1846,0.0015846856404095888
1847,0.0015842560678720474
1848,0.0014845042023807764
1849,0.001530432840809226
1850,0.0015132366679608822
1851,0.001560130505822599
1852,0.0014960910193622112
1853,0.0015062268357723951
1854,0.0014581882860511541
1855,0.0015050434740260243
1856,0.0014670926611870527
1857,0.0014680076856166124
1858,0.0014112789649516344
1859,0.0014238898875191808
1860,0.001377834938466549
1861,0.0014640894951298833
1862,0.0014937113737687469
1863,0.0014450210146605968
1864,0.0014119327533990145
1865,0.0014480912359431386
1866,0.0014402451924979687
1867,0.0014053203631192446
1868,0.0014449588488787413
1869,0.0014299940085038543
1870,0.0014561237767338753
1871,0.0014495688956230879
1872,0.0014662904432043433
1873,0.0014416524209082127
1874,0.0014289581449702382
1875,0.0014507205924019217
1876,0.001414993079379201
1877,0.0014350309502333403
1878,0.0013874012511223555
1879,0.0013858237070962787
1880,0.0013675172813236713
1881,0.0013971839798614383
1882,0.0013866523513570428
1883,0.0013693647924810648
1884,0.0013849707320332527
1885,0.0013598704244941473
1886,0.0014139014529064298
1887,0.0014511573826894164
1888,0.0014201264129951596
1889,0.0014367552939802408
1890,0.0014023907715454698
1891,0.001405064482241869
1892,0.0013933375012129545
1893,0.0013815629063174129
1894,0.0014297279994934797
1895,0.0014493942726403475
1896,0.0014068706659600139
1897,0.001429601339623332
1898,0.00139908108394593
1899,0.0013885179068893194
1900,0.0013500157510861754
1901,0.0014234028058126569
1902,0.0013467660173773766
1903,0.0013986749108880758
1904,0.001393339247442782
1905,0.0014205509796738625
1906,0.0014355723978951573
1907,0.001452961703762412
1908,0.0013927870895713568
1909,0.0014816555194556713
1910,0.0013955713948234916
1911,0.001451430027373135
1912,0.0014545784797519445
1913,0.001491842558607459
1914,0.0015026982873678207
1915,0.0015564307104796171
1916,0.0014611419755965471
1917,0.0015127935912460089
1918,0.001433906494639814
1919,0.0014866532292217016
1920,0.0013935737079009414
1921,0.0014589970232918859
1922,0.001393027137964964
1923,0.0014226364437490702
1924,0.001344698597677052
1925,0.0014008921571075916
1926,0.0013451622799038887
1927,0.0014266404323279858
1928,0.0013041531201452017
1929,0.0014104547444730997
1930,0.001391301630064845
1931,0.0014319102047011256
1932,0.00135328178294003
1933,0.0015406293096020818
1934,0.0013879392063245177
1935,0.0015251722652465105
1936,0.001447945600375533
1937,0.001473358366638422
1938,0.0014257582370191813
1939,0.0016009387327358127
1940,0.0014177376870065928
1941,0.001512177987024188
1942,0.0014055650681257248
1943,0.0015108363004401326
1944,0.001413789694197476
1945,0.0015007889596745372
1946,0.0013589652953669429
1947,0.0014250889653339982
1948,0.001388933160342276
1949,0.0014808044070377946
1950,0.0013373363763093948
1951,0.0013692084467038512
1952,0.0012838769471272826
1953,0.001390008837915957
1954,0.001415545935742557
1955,0.0013660016702488065
1956,0.0012606428936123848
1957,0.00136621855199337
1958,0.00126507633831352
1959,0.001354004954919219
1960,0.0012519974261522293
1961,0.0013020152691751719
1962,0.0012196905445307493
1963,0.0012681684456765652
1964,0.001201162114739418
1965,0.0012789085740223527
1966,0.0012184815714135766
1967,0.001267328392714262
1968,0.0012365414295345545
1969,0.0012482486199587584
1970,0.0012482046149671078
1971,0.0013000559993088245
1972,0.001245565596036613
1973,0.001289000385440886
1974,0.001256164163351059
1975,0.001292883069254458
1976,0.001285123871639371
1977,0.0012608834076672792
1978,0.0012283701216802
1979,0.0012350303586572409
1980,0.001158581580966711
1981,0.001165124704129994
1982,0.0011491645127534866
1983,0.0011259019374847412
1984,0.0010903647635132074
1985,0.001074035419151187
1986,0.001076138811185956
1987,0.0010867695091292262
1988,0.0010891022393479943
1989,0.001064102747477591
1990,0.0010558189824223518
1991,0.0010396006982773542
1992,0.0010513018351048231
1993,0.0010392243275418878
1994,0.0010234612273052335
1995,0.00107501947786659
1996,0.0010187645675614476
1997,0.0010655964724719524
1998,0.0010369936935603619
1999,0.0010497525800019503
2000,0.0010288694174960256
2001,0.0010515592293813825
2002,0.0010409089736640453
2003,0.001046949764713645
2004,0.001030632178299129
2005,0.0010413554264232516
2006,0.00104274891782552
2007,0.0010274554369971156
2008,0.0010436223819851875
2009,0.0009852075017988682
2010,0.0009350119507871568
2011,0.0008763059158809483
2012,0.0008901440305635333
2013,0.0009248994756489992
2014,0.0008438463555648923
2015,0.0008451761095784605
2016,0.0008882224792614579
2017,0.0008407350978814065
2018,0.0008501014090143144
2019,0.0008609196520410478
