,is
1800,0.008006557822227478
1801,0.008328091353178024
1802,0.007791118696331978
1803,0.007474454585462809
1804,0.007806055713444948
1805,0.007679393514990807
1806,0.007957136258482933
1807,0.008281972259283066
1808,0.007977250032126904
1809,0.008541316725313663
1810,0.00797641184180975
1811,0.00799851305782795
1812,0.007068768609315157
1813,0.00784237775951624
1814,0.007372523192316294
1815,0.007888078689575195
1816,0.0075735184364020824
1817,0.0077417525462806225
1818,0.00795216765254736
1819,0.008467135950922966
1820,0.007470873650163412
1821,0.007694010157138109
1822,0.008062193170189857
1823,0.00810667872428894
1824,0.008101246319711208
1825,0.007885763421654701
1826,0.007893103174865246
1827,0.0076751867309212685
1828,0.00797990895807743
1829,0.008120608516037464
1830,0.008427401073276997
1831,0.00813905056566
1832,0.008283726871013641
1833,0.00800259318202734
1834,0.007973350584506989
1835,0.00827983021736145
1836,0.008245094679296017
1837,0.008137482218444347
1838,0.008217728696763515
1839,0.008302661590278149
1840,0.007938864640891552
1841,0.008076210506260395
1842,0.008375277742743492
1843,0.008183390833437443
1844,0.008221473544836044
1845,0.00827243085950613
1846,0.008044414222240448
1847,0.008077307604253292
1848,0.008152307942509651
1849,0.008066040463745594
1850,0.008169564418494701
1851,0.008202441036701202
1852,0.008168535307049751
1853,0.008111841045320034
1854,0.008215978741645813
1855,0.00812143087387085
1856,0.008129625581204891
1857,0.007957587949931622
1858,0.00805665459483862
1859,0.008035320788621902
1860,0.008176006376743317
1861,0.008145068772137165
1862,0.00820307619869709
1863,0.008187759667634964
1864,0.008032221347093582
1865,0.007982423529028893
1866,0.008112928830087185
1867,0.008239862509071827
1868,0.008280571550130844
1869,0.008232141844928265
1870,0.008414050564169884
1871,0.008407256565988064
1872,0.008349621668457985
1873,0.008588183671236038
1874,0.008624015375971794
1875,0.008401415310800076
1876,0.00846053659915924
1877,0.008405670523643494
1878,0.008631808683276176
1879,0.00850407499819994
1880,0.008386323228478432
1881,0.008530289866030216
1882,0.008694173768162727
1883,0.008620101027190685
1884,0.008804630488157272
1885,0.008695373311638832
1886,0.008799800649285316
1887,0.008657954633235931
1888,0.008571342565119267
1889,0.008710026741027832
1890,0.008941655047237873
1891,0.008848926983773708
1892,0.009031267836689949
1893,0.008894231170415878
1894,0.009007291868329048
1895,0.008759584277868271
1896,0.008800800889730453
1897,0.008760768920183182
1898,0.008878270164132118
1899,0.008504402823746204
1900,0.00876822043210268
1901,0.00872692372649908
1902,0.008914786390960217
1903,0.00895901583135128
1904,0.008960124105215073
1905,0.009103462100028992
1906,0.009081391617655754
1907,0.009117845445871353
1908,0.009195692837238312
1909,0.009259866550564766
1910,0.009212713688611984
1911,0.009284699335694313
1912,0.009384272620081902
1913,0.009268839843571186
1914,0.009377471171319485
1915,0.009216228500008583
1916,0.009325644932687283
1917,0.009297643788158894
1918,0.00935017317533493
1919,0.009203586727380753
1920,0.009466495364904404
1921,0.00936946552246809
1922,0.009393942542374134
1923,0.00912214070558548
1924,0.00925911869853735
1925,0.0089475242421031
1926,0.009094895794987679
1927,0.008803000673651695
1928,0.008988562971353531
1929,0.008813454769551754
1930,0.008861519396305084
1931,0.008589351549744606
1932,0.00871532503515482
1933,0.008470173925161362
1934,0.008632888086140156
1935,0.00855905469506979
1936,0.00857668649405241
1937,0.00854670349508524
1938,0.008680223487317562
1939,0.008523093536496162
1940,0.008482051081955433
1941,0.008325042203068733
1942,0.008660879917442799
1943,0.008595981635153294
1944,0.008639181964099407
1945,0.008501202799379826
1946,0.008544008247554302
1947,0.008726109750568867
1948,0.008808969520032406
1949,0.008733602240681648
1950,0.008844640105962753
1951,0.00875089317560196
1952,0.008902143687009811
1953,0.00878192763775587
1954,0.008762212470173836
1955,0.008788755163550377
1956,0.008888103999197483
1957,0.008832617662847042
1958,0.008931271731853485
1959,0.008839928545057774
1960,0.00892115943133831
1961,0.008854134939610958
1962,0.008989773690700531
1963,0.008977703750133514
1964,0.008909599855542183
1965,0.00877794623374939
1966,0.008884076960384846
1967,0.008717430755496025
1968,0.00876443088054657
1969,0.008709756657481194
1970,0.008631176315248013
1971,0.008466416038572788
1972,0.008582650683820248
1973,0.008353562094271183
1974,0.008522000163793564
1975,0.0084612425416708
1976,0.00832081027328968
1977,0.008283348754048347
1978,0.008191371336579323
1979,0.008181577548384666
1980,0.008217694237828255
1981,0.008049295283854008
1982,0.008113065734505653
1983,0.008167782798409462
1984,0.00810765940696001
1985,0.00792981032282114
1986,0.008036009036004543
1987,0.007985216565430164
1988,0.007940066047012806
1989,0.007814699783921242
1990,0.007936523295938969
1991,0.007907277904450893
1992,0.007916761562228203
1993,0.007756494916975498
1994,0.0077803125604987144
1995,0.007793697994202375
1996,0.00788536760956049
1997,0.007974316366016865
1998,0.007985126227140427
1999,0.007954582571983337
2000,0.007934387773275375
2001,0.007872703485190868
2002,0.008010740391910076
2003,0.008111728355288506
2004,0.00807105377316475
2005,0.008103419095277786
2006,0.008107767440378666
2007,0.008025890216231346
2008,0.00794535968452692
2009,0.007838242687284946
2010,0.00780494837090373
2011,0.0075845723040401936
2012,0.007864800281822681
2013,0.007879786193370819
2014,0.0072883968241512775
2015,0.007345397956669331
2016,0.007518158759921789
2017,0.007200406864285469
2018,0.007144116796553135
2019,0.007296278141438961
