,Burundi
0,0.115722656
1,0.19628906
2,0.18359375
3,0.28125
4,-0.17578125
5,-0.14355469
6,0.15332031
7,-0.359375
8,-0.20898438
9,-0.091796875
10,0.21777344
11,0.12695312
12,0.19433594
13,-0.028320312
14,0.33984375
15,0.14941406
16,-0.17480469
17,-0.06347656
18,-0.23242188
19,0.17773438
20,0.23632812
21,-0.044189453
22,0.09326172
23,-0.032226562
24,0.28320312
25,0.001914978
26,-0.15917969
27,-0.17675781
28,0.119628906
29,0.10595703
30,-0.22265625
31,-0.34179688
32,-0.0005569458
33,-0.30273438
34,-0.32421875
35,-0.099121094
36,-0.40625
37,0.18847656
38,-0.05126953
39,-0.09423828
40,-0.22851562
41,0.111328125
42,0.21972656
43,0.39648438
44,0.012817383
45,0.2265625
46,-0.068847656
47,-0.107910156
48,0.16308594
49,0.08496094
50,0.05908203
51,-0.44921875
52,-0.2890625
53,-0.21777344
54,-0.13378906
55,-0.0546875
56,-0.5859375
57,0.07080078
58,-0.3828125
59,-0.092285156
60,-0.22265625
61,0.048095703
62,0.22851562
63,0.13671875
64,0.095703125
65,-0.24804688
66,0.004333496
67,-0.20507812
68,-0.11621094
69,0.27539062
70,-0.012268066
71,0.171875
72,0.19433594
73,0.06591797
74,-0.012451172
75,-0.064941406
76,0.026489258
77,-0.05444336
78,-0.19726562
79,0.20800781
80,-0.53125
81,-0.14453125
82,-0.006958008
83,-0.011047363
84,0.12792969
85,-0.16992188
86,0.038085938
87,-0.049804688
88,0.08935547
89,0.12597656
90,-0.08496094
91,-0.0033874512
92,-0.22949219
93,-0.03125
94,0.02355957
95,-0.2421875
96,0.22558594
97,-0.13671875
98,0.18457031
99,-0.06591797
100,-0.12597656
101,0.13378906
102,0.04345703
103,-0.33007812
104,-0.3359375
105,-0.10839844
106,0.13574219
107,-0.14160156
108,-0.10839844
109,0.28320312
110,0.043945312
111,0.12695312
112,-0.063964844
113,-0.15722656
114,-0.16699219
115,0.08544922
116,0.080566406
117,0.15722656
118,0.4140625
119,0.010986328
120,-0.06689453
121,0.16308594
122,-0.30078125
123,-0.013183594
124,-0.11425781
125,0.27929688
126,-0.31445312
127,0.15136719
128,-0.39453125
129,0.34570312
130,0.4140625
131,0.03173828
132,-0.26757812
133,0.026489258
134,-0.43359375
135,5.2452087e-05
136,-0.15136719
137,-0.26757812
138,-0.003326416
139,0.020019531
140,-0.119140625
141,-0.16210938
142,0.20410156
143,-0.0009994507
144,-0.060791016
145,0.11816406
146,-0.061523438
147,-0.16210938
148,0.21777344
149,-0.31054688
150,0.09667969
151,-0.234375
152,-0.11230469
153,0.21582031
154,0.4609375
155,-0.31640625
156,-0.06347656
157,0.42578125
158,-0.080078125
159,-0.12988281
160,-0.20996094
161,0.17773438
162,-0.22070312
163,-0.026733398
164,-0.010498047
165,-0.20898438
166,0.21191406
167,0.14648438
168,0.091796875
169,0.3359375
170,-0.21777344
171,0.44726562
172,-0.07763672
173,-0.24804688
174,-0.28320312
175,-0.060302734
176,0.19433594
177,-0.40625
178,0.103515625
179,-0.33984375
180,-0.16308594
181,0.106933594
182,0.028930664
183,-0.040039062
184,-0.056640625
185,-0.115722656
186,0.064453125
187,0.106933594
188,-0.049072266
189,0.020874023
190,-0.0013198853
191,-0.22265625
192,-0.28710938
193,-0.36914062
194,0.05053711
195,0.3984375
196,0.057373047
197,-0.072753906
198,-0.16992188
199,-0.296875
200,0.22558594
201,0.14550781
202,0.28125
203,-0.08300781
204,0.020629883
205,-0.18847656
206,0.17089844
207,-0.19433594
208,0.0062561035
209,0.0053100586
210,-0.25195312
211,-0.012084961
212,-0.22070312
213,0.25976562
214,-0.17675781
215,-0.09765625
216,-0.22460938
217,0.0234375
218,0.016479492
219,-0.1328125
220,-0.08935547
221,-0.046142578
222,-0.041748047
223,0.12207031
224,0.2578125
225,-0.24511719
226,0.22460938
227,-0.026245117
228,0.5703125
229,-0.17480469
230,-0.044921875
231,0.032226562
232,0.016723633
233,0.16796875
234,-0.045898438
235,0.15136719
236,-0.14648438
237,0.23828125
238,-0.12792969
239,-0.14550781
240,0.18066406
241,-0.17773438
242,0.13476562
243,0.24316406
244,0.31640625
245,0.06347656
246,-0.53515625
247,-0.1328125
248,-0.111328125
249,-0.21679688
250,-0.13183594
251,0.390625
252,0.19628906
253,0.15917969
254,0.045654297
255,-0.21386719
256,0.27929688
257,0.036621094
258,0.37890625
259,-0.07080078
260,-0.031982422
261,0.24804688
262,0.17675781
263,0.47460938
264,0.07324219
265,0.010314941
266,-0.66015625
267,0.032226562
268,-0.24609375
269,-0.068847656
270,0.19824219
271,-0.052490234
272,0.09863281
273,0.06689453
274,0.265625
275,-0.2578125
276,0.10449219
277,0.061767578
278,0.059570312
279,-0.111328125
280,0.13867188
281,-0.45703125
282,0.080566406
283,0.13085938
284,0.11425781
285,-0.23632812
286,-0.0146484375
287,0.00032615662
288,0.0115356445
289,0.111816406
290,-0.110839844
291,0.1953125
292,0.01977539
293,-0.13964844
294,-0.12011719
295,0.33789062
296,-0.15820312
297,-0.019897461
298,-0.07910156
299,0.08203125
