,Guadeloupe
0,-0.017822266
1,-0.13183594
2,0.1484375
3,0.45898438
4,0.5546875
5,0.035888672
6,-0.18847656
7,-0.55078125
8,-0.103027344
9,-0.25
10,-0.13574219
11,-0.14550781
12,0.10253906
13,-0.17089844
14,0.390625
15,0.035888672
16,0.037597656
17,0.44921875
18,0.20214844
19,0.3671875
20,0.20898438
21,-0.24121094
22,0.24316406
23,-0.10449219
24,-0.003189087
25,0.13378906
26,0.017822266
27,-0.484375
28,-0.011169434
29,0.31835938
30,0.12109375
31,-0.119628906
32,-0.25976562
33,-0.46484375
34,0.047607422
35,-0.17773438
36,0.015319824
37,0.08203125
38,-0.24023438
39,0.0055236816
40,0.032470703
41,0.26171875
42,0.53515625
43,0.52734375
44,-0.31835938
45,0.053466797
46,-0.19921875
47,-0.13574219
48,0.044677734
49,0.15722656
50,0.10253906
51,-0.3671875
52,0.22363281
53,-0.06225586
54,-0.23144531
55,0.21679688
56,-0.21679688
57,-0.12109375
58,-0.18945312
59,0.1328125
60,-0.19042969
61,0.15625
62,0.06347656
63,-0.045410156
64,-0.18261719
65,-0.067871094
66,-0.3515625
67,-0.049804688
68,-0.18164062
69,0.07763672
70,-0.10595703
71,0.072265625
72,-0.25390625
73,-0.20214844
74,0.14257812
75,0.19335938
76,-0.1328125
77,-0.19140625
78,0.08300781
79,-0.24511719
80,0.14453125
81,0.006713867
82,-0.21289062
83,-0.09326172
84,0.12158203
85,-0.13183594
86,-0.421875
87,0.328125
88,0.24902344
89,0.23925781
90,0.12158203
91,-0.004760742
92,-0.44335938
93,-0.010192871
94,-0.33203125
95,0.095214844
96,0.34960938
97,-0.33007812
98,-0.19335938
99,0.09716797
100,-0.1015625
101,-0.006866455
102,-0.11035156
103,-0.29882812
104,-0.059326172
105,-0.30664062
106,0.23632812
107,-0.15332031
108,0.067871094
109,0.10986328
110,0.04248047
111,-0.15917969
112,0.17675781
113,-0.25390625
114,-0.26171875
115,0.16113281
116,0.0050964355
117,-0.15136719
118,0.017333984
119,0.22753906
120,-0.328125
121,-0.104003906
122,-0.099121094
123,-0.07080078
124,0.48242188
125,0.41796875
126,-0.27734375
127,0.020751953
128,-0.2734375
129,0.20410156
130,0.046875
131,0.36132812
132,-0.39257812
133,-0.1953125
134,0.13085938
135,-0.35742188
136,-0.40429688
137,0.21582031
138,0.22753906
139,-0.4140625
140,0.0015029907
141,-0.049316406
142,0.28515625
143,0.119628906
144,-0.033447266
145,0.43554688
146,-0.080566406
147,-0.1328125
148,-0.14355469
149,0.09033203
150,-0.12988281
151,-0.115234375
152,-0.19824219
153,0.14648438
154,0.37304688
155,0.34570312
156,0.053955078
157,0.029174805
158,0.546875
159,0.05102539
160,-0.067871094
161,0.24804688
162,0.11816406
163,0.106933594
164,0.1796875
165,-0.4296875
166,-0.29492188
167,0.24023438
168,-0.09033203
169,0.028320312
170,-0.265625
171,0.23144531
172,0.10253906
173,-0.32226562
174,-0.35546875
175,0.15820312
176,-0.14160156
177,-0.296875
178,-0.22851562
179,-0.21679688
180,-0.075683594
181,-0.03564453
182,-0.08886719
183,0.010925293
184,-0.21679688
185,-0.21972656
186,-0.17089844
187,0.064453125
188,-0.063964844
189,-0.12695312
190,0.23046875
191,-0.14160156
192,-0.045410156
193,-0.024414062
194,-0.26367188
195,0.0625
196,0.0071411133
197,0.31445312
198,-0.13964844
199,-0.08642578
200,0.17382812
201,-0.25976562
202,0.012329102
203,-0.087890625
204,0.2890625
205,0.0025024414
206,0.068847656
207,-0.11035156
208,-0.024902344
209,-0.083496094
210,-0.1953125
211,-0.23632812
212,-0.12109375
213,0.37695312
214,-0.23730469
215,-0.33203125
216,0.057128906
217,-0.41601562
218,-0.08544922
219,-0.103515625
220,0.16503906
221,-0.15136719
222,-0.09277344
223,-0.037353516
224,-0.18261719
225,-0.018554688
226,0.19140625
227,0.20996094
228,0.41015625
229,0.15820312
230,0.07421875
231,-0.14746094
232,0.171875
233,0.140625
234,0.15234375
235,-0.05859375
236,0.28125
237,-0.29492188
238,0.17382812
239,-0.026367188
240,0.035888672
241,0.055908203
242,0.29492188
243,0.095214844
244,-0.017944336
245,0.088378906
246,-0.359375
247,-0.14648438
248,-0.20898438
249,-0.36328125
250,0.036132812
251,0.34179688
252,0.16992188
253,0.33203125
254,0.41796875
255,0.0006828308
256,0.0035858154
257,-0.14257812
258,0.34179688
259,0.2890625
260,0.41015625
261,0.49609375
262,-0.09667969
263,0.22753906
264,-0.034423828
265,-0.40625
266,-0.26171875
267,-0.29882812
268,0.071777344
269,0.03125
270,-0.48046875
271,0.55078125
272,-0.051513672
273,0.0050964355
274,0.13476562
275,0.067871094
276,-0.2734375
277,0.03173828
278,-0.39648438
279,0.31054688
280,-0.53515625
281,-0.24414062
282,-0.111816406
283,-0.014831543
284,-0.15332031
285,-0.0077209473
286,-0.21386719
287,0.30664062
288,-0.24511719
289,0.2265625
290,0.21484375
291,0.14746094
292,0.049316406
293,-0.09667969
294,-0.09082031
295,0.44140625
296,-0.34179688
297,-0.0126953125
298,0.36328125
299,0.23828125
